language,n_syllables,count
Akhvakh,1,129
Akhvakh,2,2011
Akhvakh,3,2013
Akhvakh,4,2285
Akhvakh,5,1396
Akhvakh,6,492
Akhvakh,7,124
Akhvakh,8,32
Akhvakh,9,8
Akhvakh,10,1
Andi,1,267
Andi,2,2439
Andi,3,2307
Andi,4,787
Andi,5,246
Andi,6,69
Andi,7,14
Andi,8,7
Andi,9,2
Andi,10,2
Andi,11,2
Andi,12,1
Andi,13,1
Bagvalal,1,2190
Bagvalal,2,2909
Bagvalal,3,2533
Bagvalal,4,1107
Bagvalal,5,196
Bagvalal,6,89
Bagvalal,7,27
Bagvalal,8,21
Bagvalal,9,14
Bagvalal,10,14
Bagvalal,11,7
Bagvalal,12,1
Bagvalal,13,3
Bagvalal,15,2
Bagvalal,17,1
Botlikh,1,242
Botlikh,2,3333
Botlikh,3,2718
Botlikh,4,1562
Botlikh,5,559
Botlikh,6,215
Botlikh,7,78
Botlikh,8,35
Botlikh,9,17
Botlikh,10,9
Botlikh,11,2
Botlikh,12,2
Botlikh,16,1
Chamalal,1,730
Chamalal,2,2409
Chamalal,3,2680
Chamalal,4,1245
Chamalal,5,157
Chamalal,6,39
Chamalal,7,8
Chamalal,8,2
Godoberi,1,906
Godoberi,2,2210
Godoberi,3,1865
Godoberi,4,737
Godoberi,5,235
Godoberi,6,107
Godoberi,7,48
Godoberi,8,27
Godoberi,9,8
Godoberi,10,11
Godoberi,11,2
Godoberi,12,2
Godoberi,13,3
Godoberi,15,1
Karata,1,141
Karata,2,2124
Karata,3,2119
Karata,4,969
Karata,5,150
Karata,6,40
Karata,7,7
Karata,8,4
Karata,9,1
Karata,10,3
Karata,11,1
Karata,12,2
Tindi,1,1970
Tindi,2,3043
Tindi,3,2261
Tindi,4,935
Tindi,5,195
Tindi,6,29
Tindi,7,2
Tindi,8,1
